County,2021,2022,2023
Washington,84155,91255,94308
Adams,57405,62410,64498
Asotin,56438,65625,67820
Benton,77339,85144,87992
Chelan,64700,81697,84430
Clallam,62623,66693,68924
Clark,83790,91149,94198
Columbia,59650,62935,65040
Cowlitz,70104,71847,74250
Douglas,64932,83870,86676
Ferry,50565,57064,58973
Franklin,79532,77820,80423
Garfield,61268,64413,66568
Grant,61815,63809,65943
Grays Harbor,55018,62258,64341
Island,76729,82717,85484
Jefferson,61548,69176,71490
King,110351,116044,119926
Kitsap,86826,93794,96931
Kittitas,62721,71737,74137
Klickitat,61542,70371,72725
Lewis,63828,67954,70227
Lincoln,64692,68318,70603
Mason,73696,78029,80639
Okanogan,55233,58661,60623
Pacific,58715,55615,57475
Pend Oreille,55060,59332,61317
Pierce,85492,92793,95897
San Juan,71678,84024,86835
Skagit,72831,79118,81765
Skamania,75158,82132,84879
Snohomish,99650,101440,104833
Spokane,65571,69079,71390
Stevens,60180,65748,67947
Thurston,81544,88560,91522
Wahkiakum,64777,70099,72444
Walla Walla,63631,66542,68768
Whatcom,71739,78796,81432
Whitman,53140,54412,56232
Yakima,60058,63058,65167
