COUNTY,POP_2021,POP_2022,POP_2023
Washington,15533950.0,15728800.0,15902300.0
Adams,53125.0,53725.0,54015.0
Asotin,53430.0,53635.0,53745.0
Benton,591440.0,599455.0,608885.0
Chelan,206860.0,208490.0,210625.0
Clallam,187080.0,187025.0,188135.0
Clark,1303100.0,1325050.0,1342045.0
Columbia,10470.0,10465.0,10465.0
Cowlitz,285385.0,287200.0,288895.0
Douglas,106360.0,107410.0,108610.0
Ferry,15500.0,15600.0,15600.0
Franklin,281060.0,285055.0,288975.0
Garfield,5995.0,5995.0,5995.0
Grant,256765.0,259540.0,263240.0
Grays Harbor,199130.0,200075.0,201630.0
Island,201990.0,203280.0,204240.0
Jefferson,76420.0,76990.0,77180.0
King,6613765.0,6704940.0,6794340.0
Kitsap,652260.0,660660.0,666100.0
Kittitas,115145.0,120555.0,120720.0
Klickitat,52745.0,53045.0,53265.0
Lewis,198260.0,200015.0,201645.0
Lincoln,27380.0,27710.0,27885.0
Mason,141910.0,142830.0,144420.0
Okanogan,100945.0,101775.0,102500.0
Pacific,54460.0,54840.0,55255.0
Pend Oreille,30080.0,30395.0,30600.0
Pierce,2349465.0,2371400.0,2392750.0
San Juan,38330.0,38980.0,39415.0
Skagit,337250.0,340780.0,342935.0
Skamania,25995.0,26325.0,26540.0
Snohomish,2142100.0,2169985.0,2204965.0
Spokane,1466740.0,1489385.0,1500410.0
Stevens,103250.0,103978.0,104645.0
Thurston,748145.0,757740.0,766220.0
Wahkiakum,9510.0,9610.0,9675.0
Walla Walla,169190.0,170675.0,171960.0
Whatcom,586170.0,601820.0,613225.0
Whitman,127920.0,137480.0,138370.0
Yakima,686060.0,690895.0,694445.0
